,tile,gesamt,Abies,Acer,Aesculus,Ailanthus,Alnus,Amelanchier,Betula,Carpinus,Castanea,Catalpa,Cedrus,Celtis,Cercidiphyllum,Chamaecyparis,Cornus,Corylus,Crataegus,Cryptomeria,Davidia,Decaisnea,Euonymus,Fagus,Fraxinus,Ginkgo,Gleditsia,Ilex,Juglans,Juniperus,Koelreuteria,Laburnum,Larix,Liquidambar,Liriodendron,Magnolia,Malus,Malus-Hybride,Mespilus,Metasequoia,Metasequoia glyptostroboides,Nyssa,Parrotia,Paulownia,Picea,Pinus,Platanus,Populus,Prunus,Pseudotsuga,Pterocarya,Pyrus,Quercus,Robinia,Salix,Sambucus,Sequoiadendron,Sophora,Sorbus,Taxodium,Taxus,Thuja,Tilia,Tsuga,Ulmus,Viburnum,Zelkova,x,y
10,dop10rgbi_32_405_5750_1_nw_2020.jp2,210,0,23,2,0,0,0,0,8,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,4,0,0,1,100,16,0,0,0,0,19,0,0,0,5,0,9,0,0,405,5750
11,dop10rgbi_32_401_5758_1_nw_2020.jp2,440,0,12,0,0,0,0,8,16,0,0,0,0,0,0,2,6,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,4,0,5,0,0,2,171,0,3,0,0,0,2,0,0,0,166,0,10,0,0,401,5758
12,dop10rgbi_32_409_5755_1_nw_2020.jp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,5755
13,dop10rgbi_32_407_5752_1_nw_2020.jp2,28,0,4,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,407,5752
14,dop10rgbi_32_402_5762_1_nw_2020.jp2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,402,5762
15,dop10rgbi_32_404_5755_1_nw_2020.jp2,994,0,327,25,0,4,14,25,106,2,2,1,0,2,0,4,16,5,0,0,0,1,25,52,0,0,0,1,0,0,0,2,12,0,1,0,3,0,6,0,0,3,0,0,4,26,1,44,0,0,3,82,35,2,0,0,0,31,0,31,0,88,4,4,0,0,404,5755
16,dop10rgbi_32_405_5754_1_nw_2020.jp2,277,0,33,0,0,4,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,72,1,0,0,0,0,14,0,0,0,36,0,0,0,0,405,5754
17,dop10rgbi_32_408_5754_1_nw_2020.jp2,297,0,23,5,0,0,0,54,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,80,10,0,0,0,0,0,0,0,0,87,0,0,0,0,408,5754
18,dop10rgbi_32_406_5753_1_nw_2020.jp2,50,0,38,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,406,5753
19,dop10rgbi_32_401_5762_1_nw_2020.jp2,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,5762
